"State","% of workforce licensed","Typical license fee low ($)","Typical license fee high ($)","Notes"
"New Mexico","25.9","165","380","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"New York","20.7","165","385","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"North Carolina","22","140","325","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"North Dakota","26.6","90","210","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); among least-burdensome per IJ (avg fee $151)."
"Ohio","18.1","85","205","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Oklahoma","25","185","430","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Oregon","26.1","185","435","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); high-burden state per IJ (licenses 69 of 102 occupations)."
"Pennsylvania","20.2","70","160","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); least-burdensome state per IJ (avg fee $116, ~120 days education/experience)."
"Rhode Island","14.5","140","330","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"South Carolina","12.4","145","340","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); South Carolina had the lowest licensed share (12.4%) in the WH report."
"South Dakota","21.8","145","340","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Tennessee","23.1","205","475","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Texas","24.1","160","370","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Utah","23.8","195","450","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); reform reduced burden per IJ 2022."
"Vermont","16.8","115","270","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Virginia","17.2","190","445","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); high combined burden per IJ (licenses 72 of 102 occupations)."
"Washington","30.5","140","320","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"West Virginia","25.8","120","280","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Wisconsin","18.4","155","360","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Wyoming","21.2","225","520","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); licenses fewest occupations (26 of 102) per IJ."
